time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-05T06:23:00.507Z,41.8943,-119.6452,10.5,2.6,ml,5,101.41,0.126,0.1148,nn,nn00475415,2018-06-29T23:42:10.374Z,"63km ESE of Lakeview, Oregon",earthquake,,4.9,0.55,5,reviewed,nn,nn
2015-01-05T15:35:50.158Z,41.8852,-119.641,9.8,3.7,ml,7,100.62,0.133,0.1816,nn,nn00475453,2018-06-29T23:42:11.060Z,"67km ESE of Lakeview, Oregon",earthquake,,5.3,0.31,7,reviewed,nn,nn
2015-01-05T15:39:56.391Z,41.8744,-119.6204,8.2,3.2,ml,6,99.63,0.152,0.1636,nn,nn00475455,2018-06-29T23:42:11.166Z,"69km ESE of Lakeview, Oregon",earthquake,,4.2,0.4,6,reviewed,nn,nn
2015-01-05T19:24:27.393Z,41.8761,-119.6262,8.2,2.5,ml,5,99.8,0.147,0.1744,nn,nn00475491,2018-06-29T23:42:20.270Z,"70km ESE of Lakeview, Oregon",earthquake,,4.5,0.47,5,reviewed,nn,nn
2015-01-05T23:26:09.184Z,41.8676,-119.6378,9.3,3,ml,6,143.18,0.146,0.1638,nn,nn00475559,2018-06-29T23:42:12.742Z,"68km ESE of Lakeview, Oregon",earthquake,,4.1,0.43,6,reviewed,nn,nn
2015-01-06T01:52:36.237Z,41.8981,-119.6328,10.8,2.8,ml,5,121.33,0.132,0.1515,nn,nn00475581,2018-06-29T23:42:22.151Z,"67km ESE of Lakeview, Oregon",earthquake,,2.8,0.34,5,reviewed,nn,nn
2015-01-06T03:30:02.433Z,41.8832,-119.6317,9.4,2.8,ml,5,100.42,0.14,0.1798,nn,nn00475589,2018-06-29T23:42:31.815Z,"72km ESE of Lakeview, Oregon",earthquake,,3.5,0.32,5,reviewed,nn,nn
2015-01-06T03:47:17.560Z,40.3168333,-125.2443333,0.341,2.59,md,36,306,0.7099,0.3,nc,nc72376086,2017-02-07T00:19:29.676Z,"88km WSW of Ferndale, California",earthquake,6.55,3.67,0.159,28,reviewed,nc,nc
2015-01-06T09:56:56.920Z,38.4395,-119.2588333,8.88,3.19,ml,100,91,0.155,0.09,nc,nc72376166,2018-06-29T23:42:26.409Z,"20km N of Bridgeport, California",earthquake,0.14,0.51,0.193,28,reviewed,nc,nc
2015-01-06T11:03:50.334Z,41.8959,-119.6459,10.4,3.4,ml,5,126.14,0.125,0.1299,nn,nn00475643,2018-06-29T23:42:24.520Z,"66km ESE of Lakeview, Oregon",earthquake,,3.8,0.53,5,reviewed,nn,nn
2015-01-06T11:12:18.890Z,42.676,-126.7963333,4.685,2.69,md,9,324,2.527,2.26,uw,uw60945337,2016-07-22T19:43:17.260Z,off the coast of Oregon,earthquake,27,31.61,0.048,5,reviewed,uw,uw
2015-01-07T01:29:37.360Z,39.2418333,-123.1945,6.627,2.7,mh,7,242,0.09009,0.03,nc,nc72376591,2017-02-07T00:28:44.576Z,"2km SSE of Redwood Valley, California",earthquake,1.02,2.29,,0,reviewed,nc,nc
2015-01-07T02:42:15.416Z,41.8744,-119.6403,8.1,3.1,ml,6,130.55,0.14,0.1991,nn,nn00475803,2018-06-29T23:42:32.615Z,"68km ESE of Lakeview, Oregon",earthquake,,4.6,0.49,6,reviewed,nn,nn
2015-01-08T02:02:53.840Z,49.1709,-125.647,24.64,4.8,mww,,,,0.47,us,usc000td14,2016-07-12T19:43:58.460Z,"18km E of Tofino, Canada",earthquake,3.3,3.8,,,reviewed,pgc,us
2015-01-08T07:02:34.435Z,41.9095,-119.5736,4.7,2.6,ml,8,123.6,0.169,0.1173,nn,nn00476001,2018-06-29T23:42:39.429Z,"71km ESE of Lakeview, Oregon",earthquake,,5.6,0.25,8,reviewed,nn,nn
2015-01-08T07:59:29.255Z,41.8802,-119.6368,8.7,3.3,ml,8,121.99,0.139,0.1243,nn,nn00475994,2018-06-29T23:42:41.525Z,"67km ESE of Lakeview, Oregon",earthquake,,3.2,0.28,8,reviewed,nn,nn
2015-01-08T13:18:09.067Z,41.864,-119.6297,8.6,3,ml,7,132.53,0.152,0.1139,nn,nn00476014,2018-06-29T23:42:40.566Z,"69km ESE of Lakeview, Oregon",earthquake,,4.5,0.27,7,reviewed,nn,nn
2015-01-08T19:25:24.530Z,41.8659,-119.6271,8.3,2.7,ml,6,123.13,0.153,0.1465,nn,nn00476085,2018-06-29T23:42:41.415Z,"69km ESE of Lakeview, Oregon",earthquake,,3.9,0.47,5,reviewed,nn,nn
2015-01-08T23:04:25.190Z,40.5525,-126.0398333,11.922,2.77,md,16,319,1.299,0.08,nc,nc72377816,2017-02-07T00:50:32.476Z,"150km W of Ferndale, California",earthquake,5.24,6.1,0.089,14,reviewed,nc,nc
2015-01-10T06:46:36.825Z,41.8793,-119.6346,10.5,2.8,ml,5,122.14,0.14,0.171,nn,nn00476387,2018-06-29T23:42:56.184Z,"68km ESE of Lakeview, Oregon",earthquake,,2.7,0.34,5,reviewed,nn,nn
2015-01-10T10:12:21.520Z,40.3911667,-124.265,10.829,2.86,md,23,134,0.07117,0.09,nc,nc72378641,2017-02-07T01:00:44.890Z,"18km SW of Rio Dell, California",earthquake,0.3,0.31,0.181,73,reviewed,nc,nc
2015-01-10T10:30:38.565Z,41.8849,-119.634,9.1,3,ml,7,121.9,0.138,0.1243,nn,nn00476404,2018-06-29T23:42:56.382Z,"67km ESE of Lakeview, Oregon",earthquake,,3.5,0.24,7,reviewed,nn,nn
2015-01-10T13:45:06.720Z,39.4116667,-122.134,29.132,2.77,md,33,42,0.1468,0.14,nc,nc72378716,2017-02-07T01:01:53.270Z,"13km SSE of Willows, California",earthquake,0.35,0.95,0.249,111,reviewed,nc,nc
2015-01-10T15:02:40.315Z,41.8788,-119.6396,10.4,2.7,ml,5,126.44,0.138,0.1947,nn,nn00476423,2018-06-29T23:42:56.603Z,"67km ESE of Lakeview, Oregon",earthquake,,3.1,0.48,5,reviewed,nn,nn
2015-01-10T15:15:57.410Z,41.8287,-126.0035,10.37,3.1,ml,,236,1.378,0.71,us,usc000teh9,2017-02-07T01:02:37.369Z,"144km W of Brookings, Oregon",earthquake,7.6,8.2,0.308,15,reviewed,us,nc
